;index;type;name;geometry_name;lon;lat;geometry;K_distance;distance_to_center;normalize_name;okato;prc_children_1_6;region_average_age;count_nearest_postamats;count_nearest_pvz;count_nearest_pvz_shop;food_delivery;velo_parking;digitalization;digitalization_without_postamat;covering_postamats;count_nearest_metro;count_nearest_ngpt;count_nearest_auto_parking;transportization;level_working_region;level_sleeping_region;count_house_flat;population_house_flat;population_house_square;population_house_living_square;count_nearest_postamats_x2;count_nearest_postamats_x3;level_sleep_work_region;region_population;average_salary;average_employees;prc_employees_small_businesses;count_small_enterprises;investments;price_metr_housing;cost_apartment;rating_ecology;entertainment_infrastructure;house_infrastructure_rating;prc_xenophobic;area_per_human_region;population_density_region;population_region;prc_people_higher_education;death_rate;total_fertility_rate;prc_children_5_18;migration_population_growth;natural_population_growth;budget_expenditures;budget_revenues
387;234;Hexagon_7;8711aa783ffffff;8611aa787ffffff;37.63871985958616;55.703192169376926;POLYGON ((37.619429684477545 55.697873720533565, 37.6361357800026 55.69047958588639, 37.65542731892241 55.69579529805158, 37.65801809341456 55.70850836762482, 37.64130558836811 55.715904538678735, 37.62200871859449 55.7105856029167, 37.619429684477545 55.697873720533565));1.36437;5.787263311585249;даниловский;45296559000;6.69;41.7;46;19;74;6;5;1.4369077956725258;1.076907795672526;65;9;82;46;0.8411360002489778;89892;29082;9747;31192;31448;25387;230;495;0.3235215592043786;93400;99175;58801;39.62;917;578763;205429;41185;7;85;36;11.48;17.4;7414;93400;48.47;9.7;6.4;12.1;7.7;-3.3;22817;23881
388;244;Hexagon_7;8711aa78effffff;8611aa78fffffff;37.6606105216444;55.721221222067605;POLYGON ((37.64130558836811 55.715904538678735, 37.65801809341456 55.70850836762482, 37.677324386632435 55.713822312224394, 37.67992351909266 55.72653565002874, 37.663204605185186 55.73393386005524, 37.64389296791722 55.728616692467604, 37.64130558836811 55.715904538678735));1.36437;4.445445279785146;даниловский;45296559000;6.69;41.7;78;19;66;8;12;1.764916107692986;1.1544813250842907;97;13;113;92;1.272046889527759;157155;48601;30558;97811;96465;76298;261;441;0.3092551939168337;93400;99175;58801;39.62;917;578763;205429;41185;7;85;36;11.48;17.4;7414;93400;48.47;9.7;6.4;12.1;7.7;-3.3;22817;23881
1015;140;Hexagon_7;8711aa681ffffff;8611aa687ffffff;37.87688533923717;55.708530032460786;POLYGON ((37.8575240658125 55.703243412480106, 37.874222371536014 55.69581015649071, 37.89358495392346 55.70109402748665, 37.89625465572803 55.71381437105543, 37.87955000736032 55.721249688568626, 37.86018200001959 55.71596260014753, 37.8575240658125 55.703243412480106));1.36437;16.883303452074284;косино-ухтомский;45263573000;9.85;34.1;43;16;11;6;8;1.4241197783461208;1.087598039215686;59;4;71;35;0.5537950640145342;12778;29084;18252;58410;50582;44513;218;454;2.2760995460948505;81200;64895;1215;64.14;133;26;138365;25385;31;42;60;20.5;18.4;5421;81200;54.08;4.5;12.9;15.33;13.2;8.4;24009;30301
1016;143;Hexagon_7;8711aa685ffffff;8611aa687ffffff;37.840822039913064;55.710673231604915;POLYGON ((37.82147012644445 55.70538158599929, 37.8381708348642 55.69795451417129, 37.8575240658125 55.703243412480106, 37.86018200001959 55.71596260014753, 37.84347493786472 55.72339172974996, 37.82411629543383 55.71809961306957, 37.82147012644445 55.70538158599929));1.36437;14.657507234508941;косино-ухтомский;45263573000;9.85;34.1;44;16;18;6;13;1.5242252770673483;1.179877450980392;60;4;71;63;0.6396846345666813;27328;54400;23222;74314;60704;52957;191;510;1.990632318501171;81200;64895;1215;64.14;133;26;138365;25385;31;42;60;20.5;18.4;5421;81200;54.08;4.5;12.9;15.33;13.2;8.4;24009;30301
1017;145;Hexagon_7;8711aa688ffffff;8611aa68fffffff;37.93501742023338;55.72437619184956;POLYGON ((37.91563201586806 55.719096425205095, 37.93233423596374 55.711654918472526, 37.95172093676281 55.716931932344515, 37.95441086939319 55.72965366792755, 37.93770231864742 55.737097242500774, 37.918310166095125 55.73181701280662, 37.91563201586806 55.719096425205095));1.36437;20.025476937962463;косино-ухтомский;45263573000;9.85;34.1;4;2;0;2;0;0.6726768968456946;0.6413725490196076;6;2;2;0;0.0920418516169943;9189;39254;0;0;0;0;99;288;4.2718467733159216;81200;64895;1215;64.14;133;26;138365;25385;31;42;60;20.5;18.4;5421;81200;54.08;4.5;12.9;15.33;13.2;8.4;24009;30301
1018;164;Hexagon_7;8711aa6aaffffff;8611aa6afffffff;37.862841631695886;55.72868156757465;POLYGON ((37.84347493786472 55.72339172974996, 37.86018200001959 55.71596260014753, 37.87955000736032 55.721249688568626, 37.88221637752318 55.73396912348333, 37.86550296245653 55.74140031343108, 37.84612953032977 55.73611000727658, 37.84347493786472 55.72339172974996));1.36437;15.476846626088014;косино-ухтомский;45263573000;9.85;34.1;43;16;9;4;12;1.418825660699062;1.0823039215686272;59;2;51;27;0.36673140738608295;4320;12380;19781;63300;53786;52810;227;449;2.865740740740741;81200;64895;1215;64.14;133;26;138365;25385;31;42;60;20.5;18.4;5421;81200;54.08;4.5;12.9;15.33;13.2;8.4;24009;30301
1815;238;Hexagon_7;8711aa788ffffff;8611aa78fffffff;37.68252431141179;55.739248770434614;POLYGON ((37.663204605185186 55.73393386005524, 37.67992351909266 55.72653565002874, 37.69924458137545 55.731847819506385, 37.701852087259226 55.74456142054823, 37.68512676516964 55.75196167211688, 37.66580034561224 55.74664628026307, 37.663204605185186 55.73393386005524));1.36437;4.228122332072933;таганский;45286580000;6.2;41.9;81;27;71;10;19;2.028828957256126;1.394915913777865;108;9;132;103;1.2117657585459696;60881;22329;35954;115074;109257;89235;217;472;0.3667646720651763;120500;106915;73885;33.04;666;268013;221993;42105;12;96;93;14.49;20.8;15099;120500;57.05;9.6;10.4;10.94;8.9;0.8;25695;24871
1816;242;Hexagon_7;8711aa78cffffff;8611aa78fffffff;37.64648199980426;55.74132862941942;POLYGON ((37.62717172707704 55.73600872264398, 37.64389296791722 55.728616692467604, 37.663204605185186 55.73393386005524, 37.66580034561224 55.74664628026307, 37.64907268560192 55.754040348210054, 37.62975570457712 55.74871995734089, 37.62717172707704 55.73600872264398));1.36437;2.163589426054064;таганский;45286580000;6.2;41.9;62;35;92;16;19;2.233711736454762;1.748494345150414;97;17;150;106;1.628292245507701;289700;72456;24002;77069;112209;76515;243;474;0.25010700724887813;120500;106915;73885;33.04;666;268013;221993;42105;12;96;93;14.49;20.8;15099;120500;57.05;9.6;10.4;10.94;8.9;0.8;25695;24871
2546;232;Hexagon_7;8711aa781ffffff;8611aa787ffffff;37.62458939893891;55.72329727072804;POLYGON ((37.60529389757446 55.717975597891744, 37.62200871859449 55.7105856029167, 37.64130558836811 55.715904538678735, 37.64389296791722 55.728616692467604, 37.62717172707704 55.73600872264398, 37.60786952675514 55.73068656299371, 37.60529389757446 55.717975597891744));1.36437;3.4448919754187863;замоскворечье;45286560000;5.81;40.7;65;22;69;13;15;1.8403535214986044;1.3316578693246914;87;14;114;68;1.2444481834344159;169036;32338;27128;86941;95608;75137;216;457;0.1913083603492747;58200;105825;144001;20.58;1353;808290;338563;50000;2;100;87;7.31;20.4;13573;58200;62.85;6.3;8.9;11.75;11.1;2.6;43028;47592
3094;146;Hexagon_7;8711aa68affffff;8611aa68fffffff;37.949032721225244;55.704209974411945;POLYGON ((37.929652764209166 55.69893342370218, 37.946346221148715 55.69148779546295, 37.96572747006944 55.69676159382586, 37.96842071409916 55.70948423509394, 37.95172093676281 55.716931932344515, 37.93233423596374 55.711654918472526, 37.929652764209166 55.69893342370218));1.36437;21.370899928796298;некрасовка;45290574000;4.07;36.1;35;15;3;17;8;1.1851658668112668;0.911252823333006;50;1;40;20;0.26008146243352487;8591;38861;9557;30582;27074;23576;106;232;4.523454778256315;55100;67623;1756;29.66;75;28;109375;23201;30;0;28;21.14;34.4;11340;55100;36.63;5.3;15.0;5.92;80.9;9.7;17797;16688
